"Folder","n_variables","s_size","p_sparse","VAFx","Dataset","n_components","Loss","VAF","Recovery_Rate","MSE_W","MSE_P","W_Corr","P_Corr","Iterations"
"../Scripts/DATA-R-W-Sparse",1000,100,0,1,21,2,9.15711113127686e-10,0.999999999084288,0.9995,1.79525116945334e-09,1.79525117035215e-09,0.999999102409691,0.99999910240969,102
"../Scripts/DATA-R-W-Sparse",1000,100,0.5,0.8,9,2,0.196455214509444,0.803545234757444,1,2.54033958325722e-06,2.54024563325656e-06,0.99872738806458,0.998727436874696,19
"../Scripts/DATA-R-W-Sparse",1000,100,0.5,1,27,2,1.19267084733512e-05,0.999988073286882,1,1.97117904522093e-08,1.97116813494328e-08,0.999990134117309,0.999990134174978,57
"../Scripts/DATA-R-W-Sparse",1000,100,0.8,0.8,15,2,0.199195826763477,0.800804508692011,1,1.05882271161221e-06,1.05879245093709e-06,0.999470761865834,0.999470778638591,24
"../Scripts/DATA-R-W-Sparse",1000,100,0.8,1,33,2,0.000109517538474076,0.999890485050325,1,7.36683188071842e-08,7.36672162539625e-08,0.999963136190018,0.999963136746159,40
"../Scripts/DATA-R-W-Sparse",1000,500,0,0.8,6,2,0.198759816293217,0.801240183709781,0.9995,7.87589945198327e-06,7.87594184861023e-06,0.996062150141027,0.996062151851492,9
"../Scripts/DATA-R-W-Sparse",1000,500,0,1,24,2,2.30621615791854e-11,0.999999999976913,0.9995,8.43513680375148e-09,8.43513712827195e-09,0.999995782426398,0.999995782426233,102
"../Scripts/DATA-R-W-Sparse",1000,500,0.5,0.8,12,2,0.199237474884561,0.800762523617905,1,6.1550358016334e-07,6.1550228891763e-07,0.999692303220231,0.999692304263372,40
"../Scripts/DATA-R-W-Sparse",1000,500,0.5,1,30,2,5.77823835771466e-06,0.999994221764483,1,8.77526688796694e-09,8.775303533315e-09,0.999995611119284,0.999995611100783,46
"../Scripts/DATA-R-W-Sparse",1000,500,0.8,0.8,18,2,0.200049301829798,0.79995099726756,1,5.03692355702169e-07,5.03593349016666e-07,0.999748178636696,0.999748228497331,32
"../Scripts/DATA-R-W-Sparse",1000,500,0.8,1,36,2,9.78910193383251e-05,0.999902111112694,1,5.34894542468927e-08,5.34886433333014e-08,0.999973255108361,0.99997325551739,36
